scenarioId,group,title,lane,status,validationScope,reason,executionMode,flowId,depositId,lineId,scheduleIds,notes,artifactPaths
"RS-001","Happy Path","Exact Match All Key Fields","deterministic","not-recorded","scenario-proof","","browser-live","tc01-completed-final-state","3880182d-de21-4edc-935f-72c4921a88c5","96399ae3-41b0-44f7-94d7-5a94d129294e","8fae04fd-1277-4756-bf44-5afd3fd21e73","",""
"RS-002","Happy Path","Exact match using Additional Information metadata","deterministic","not-recorded","scenario-proof","","browser-live","rs002-exact-metadata-candidate","01a6c210-9f8f-4ebf-97eb-d8bec64fdedd","ab8e9cad-7aaf-4cb8-9523-903d3e3333a0","51219876-e827-4bc0-81d6-ec257caf6391","",""
"RS-003","Happy Path","Single deposit line splits cleanly across multiple schedules","deterministic","not-recorded","scenario-proof","","browser-live","tc04-1tom-preview","e70b304d-a4ab-4367-a983-3040460cbb1e","3efe948b-cc82-4c21-94f4-b0b9e5a4195a","c5bacc78-363b-470f-a4ab-1b211184b02f|518caafd-7d8e-4794-83a1-1e50e3468583|1e3f1193-b23c-4e32-bf0a-adb687ce87fc","",""
"RS-004","Happy Path","Multiple deposit lines roll up to one schedule","deterministic","not-recorded","scenario-proof","","browser-live","rs004-tc05-manytoone","7c6dbc29-d849-4c71-91a0-afe07db263d3","2c04f134-0acd-422a-a7a9-2eb1f5a2f0e1","bc5393d9-891b-4dea-ab07-9fd981017708","",""
"RS-005","Happy Path","Bundle payment matches multiple bundled products","deterministic","not-recorded","scenario-proof","","browser-live","generic-1tom-split-family","75fd941e-8614-40fc-b9ee-39acac07450e","b206178c-5f7e-44a4-9455-b017ff854d13","1274ec2a-54c2-4dcb-9185-6f1cee0de73c","",""
"RS-006","Happy Path","Only part of deposit intentionally applies to available schedules","deterministic","not-recorded","scenario-proof","","browser-live","generic-partial-review","699a0e77-69d6-485c-ba8e-ddacd988ecf8","1c37b342-821a-4b28-9e51-db131e84f780","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-007","Happy Path","Paid commission ties mathematically even if stated % field is informational","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-008","Happy Path","Line item requires penny placement but totals still exact","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","4868fa49-89f5-44b7-ab5a-803ca5816e32","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-009","Financial Variance","Usage higher than expected","deterministic","not-recorded","scenario-proof","","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","42bc2596-04aa-4fb4-b9e2-64c507e0ab03","098200f0-c427-4e12-92d5-1c398263f851","",""
"RS-010","Financial Variance","Usage lower than expected","deterministic","blocked","scenario-proof","The mapped deposit line item exists in the detail payload but did not render as a selectable row in the current browser session.","browser-live","generic-1to1-candidate-review","6eef0836-1147-47ed-8413-e1d089268cf0","fe5e4fe1-d816-4826-ba7f-5dcc73e4e83e","098200f0-c427-4e12-92d5-1c398263f851","The scenario manifest line ID is still present in the deposit detail API response. | Marked blocked instead of failed because this indicates UI availability drift rather than a verified reconciliation logic defect.","test-results/reconciliation-suite--RS-0-11715-c-Usage-lower-than-expected-chromium/rs-010-line-unavailable.png"
